Entity,Approved to Realized,Approved to Realized,Approved to Realized,Approved to Realized,Approved to Realized,Approved to Realized,Approved to Realized,Approved to Finished,Approved to Finished,Approved to Finished,Approved to Finished,Approved to Finished,Approved to Finished,Approved to Finished,Approved to  Completed,Approved to  Completed,Approved to  Completed,Approved to  Completed,Approved to  Completed,Approved to  Completed,Approved to  Completed,Country
Ouargla,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Algeria
Tlemcen,50.0%,0.0%,0.0%,0.0%,0.0%,0.0%,66.67%,66.67,0.0%,0.0%,0.0%,0.0%,0.0%,133.33%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Algeria
Andorra La Vella,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Andorra
Neuquén,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Argentina
La Plata,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Argentina
Santiago del Estero,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Argentina
Santa Fe,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Argentina
Buenos Aires USAL,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Argentina
Buenos Aires,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Argentina
Córdoba,50.0%,0.0%,0.0%,0.0%,0.0%,50.0%,0.0%,50.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Argentina
MC Argentina,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Argentina
Buenos Aires UBA FCE,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Argentina
Mendoza,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,23.53,12.5%,0.0%,0.0%,0.0%,0.0%,0.0%,11.76,12.5%,0.0%,0.0%,0.0%,0.0%,0.0%,Argentina
Entre Ríos,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,20.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Argentina
Rosario (Argentina),133.33%,200.0%,0.0%,0.0%,0.0%,100.0%,0.0%,166.67,266.67%,0.0%,0.0%,0.0%,100.0%,0.0%,116.67,200.0%,0.0%,0.0%,0.0%,50.0%,0.0%,Argentina
San Juan Argentina,11.11%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,77.78,33.33%,0.0%,0.0%,0.0%,0.0%,0.0%,11.11,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Argentina
Bahía Blanca,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Argentina
Tucumán,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Argentina
Salta,6.67%,6.67%,0.0%,0.0%,0.0%,0.0%,0.0%,26.67,20.0%,0.0%,0.0%,0.0%,0.0%,0.0%,13.33,13.33%,0.0%,0.0%,0.0%,0.0%,0.0%,Argentina
YEREVAN,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Armenia
Murdoch University,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Australia
Edith Cowan University,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Australia
Deakin University,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Australia
D - AIESEC in Australian Catholic University,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Australia
University of Queensland,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Australia
D - AIESEC in Australian Catholic University,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Australia
University of Adelaide,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Australia
University of Technology Sydney,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,100.0,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,Australia
Macquarie University,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,200.0,0.0%,0.0%,0.0%,200.0%,0.0%,0.0%,100.0,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,Australia
University of Sydney,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,500.0,0.0%,0.0%,0.0%,500.0%,0.0%,0.0%,500.0,0.0%,0.0%,0.0%,500.0%,0.0%,0.0%,Australia
Monash University,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,150.0,0.0%,0.0%,0.0%,150.0%,0.0%,0.0%,50.0,0.0%,0.0%,0.0%,50.0%,0.0%,0.0%,Australia
University of New South Wales (UNSW),0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,400.0,0.0%,0.0%,0.0%,400.0%,0.0%,0.0%,300.0,0.0%,0.0%,0.0%,300.0%,0.0%,0.0%,Australia
Central Sydney,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Australia
Murdoch University,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Australia
Queensland University of Technology,100.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,100.0,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Australia
South Australia,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Australia
Edith Cowan University,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Australia
University of Western Australia,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Australia
University of Melbourne,33.33%,0.0%,0.0%,0.0%,33.33%,0.0%,0.0%,200.0,0.0%,0.0%,0.0%,200.0%,0.0%,0.0%,133.33,0.0%,0.0%,0.0%,133.33%,0.0%,0.0%,Australia
Australian National University,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Australia
D - Australian Catholic University,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Australia
Curtin University,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Australia
Royal Melbourne Institute of Technology,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Australia
MC Australia,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Australia
LINZ,50.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,50.0,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,Austria
VIENNA TU,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Austria
VIENNA UV,50.0%,33.33%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0,33.33%,0.0%,0.0%,0.0%,0.0%,0.0%,25.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Austria
VIENNA WU,14.29%,0.0%,33.33%,0.0%,0.0%,0.0%,0.0%,57.14,0.0%,100.0%,0.0%,33.33%,0.0%,0.0%,28.57,0.0%,66.67%,0.0%,0.0%,0.0%,0.0%,Austria
AUSTRIA MC,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,66.67,0.0%,66.67%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Austria
GRAZ,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,200.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Austria
INNSBRUCK,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Austria
Baku Qafqaz,8.82%,0.0%,0.0%,0.0%,3.33%,100.0%,100.0%,14.71,0.0%,0.0%,0.0%,3.33%,100.0%,300.0%,2.94,0.0%,0.0%,0.0%,3.33%,0.0%,0.0%,Azerbaijan
Baku Synergy,5.0%,0.0%,0.0%,0.0%,5.41%,0.0%,100.0%,8.33,0.0%,0.0%,0.0%,5.41%,0.0%,200.0%,3.33,0.0%,0.0%,0.0%,5.41%,0.0%,0.0%,Azerbaijan
Baku ADA,2.0%,0.0%,0.0%,0.0%,0.0%,50.0%,0.0%,6.0,0.0%,0.0%,0.0%,3.85%,100.0%,0.0%,4.0,0.0%,0.0%,0.0%,3.85%,50.0%,0.0%,Azerbaijan
Expansion Ganja,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Azerbaijan
Expansion Khazar,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Azerbaijan
Expansion Lankaran,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Azerbaijan
Expansion Sumgayit,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Azerbaijan
MC Azerbaijan,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Azerbaijan
Awal,14.29%,0.0%,0.0%,0.0%,25.0%,0.0%,0.0%,57.14,0.0%,0.0%,0.0%,50.0%,0.0%,0.0%,28.57,0.0%,0.0%,0.0%,25.0%,0.0%,0.0%,Bahrain
Tylos,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,45.45,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,45.45,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,Bahrain
MC Bahrain,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Bahrain
Dilmun,100.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,100.0,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,100.0,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,Bahrain
Dhaka South,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Bangladesh
Dhaka North,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Bangladesh
IUT - Islamic University of Technology,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Bangladesh
National Office,100.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,300.0,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Bangladesh
BRIDGETOWN,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Barbados
Belarus (MC),0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Belarus
Grodno [Expansion],0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Belarus
Minsk,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Belarus
Belgium (National),117.65%,0.0%,112.5%,0.0%,0.0%,100.0%,0.0%,252.94,0.0%,256.25%,0.0%,0.0%,100.0%,0.0%,17.65,0.0%,18.75%,0.0%,0.0%,0.0%,0.0%,Belgium
Campus Brussels,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Belgium
Gent,66.67%,0.0%,0.0%,0.0%,66.67%,0.0%,0.0%,100.0,0.0%,0.0%,0.0%,66.67%,0.0%,0.0%,33.33,0.0%,0.0%,0.0%,33.33%,0.0%,0.0%,Belgium
IHECS,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Belgium
LEUVEN,100.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,300.0,0.0%,0.0%,0.0%,200.0%,0.0%,0.0%,100.0,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,Belgium
LIMBURG,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Belgium
LOUVAIN LA NEUVE,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Belgium
Luxembourg,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Belgium
MC (BELGIUM),0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Belgium
"ULB, St. Louis, IHECS, ICHEC",0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Belgium
ULB,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Belgium
University of Antwerp (UA),20.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,80.0,0.0%,400.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Belgium
VUB,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Belgium
MC Benin 2,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Benin
Porto-Novo,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,33.33,33.33%,0.0%,0.0%,0.0%,0.0%,0.0%,33.33,33.33%,0.0%,0.0%,0.0%,0.0%,0.0%,Benin
UATM Gasa Formation,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Benin
Abomey-Calavi,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Benin
Cotonou,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Benin
ENEAM,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Benin
MC Benin,100.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,100.0,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,50.0,0.0%,0.0%,0.0%,50.0%,0.0%,0.0%,Benin
Thimphu,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Bhutan
ALTIPLANO,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Bolivia
COCHABAMBA,46.15%,62.5%,0.0%,0.0%,20.0%,0.0%,0.0%,84.62,87.5%,0.0%,0.0%,60.0%,0.0%,0.0%,46.15,75.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Bolivia
Expansiones Bolivia,33.33%,0.0%,0.0%,0.0%,33.33%,0.0%,0.0%,66.67,0.0%,0.0%,0.0%,33.33%,0.0%,0.0%,33.33,0.0%,0.0%,0.0%,33.33%,0.0%,0.0%,Bolivia
LA LLAJTA,50.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,50.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Bolivia
LA PAZ,100.0%,150.0%,0.0%,0.0%,50.0%,100.0%,0.0%,166.67,350.0%,0.0%,0.0%,50.0%,50.0%,0.0%,100.0,300.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Bolivia
TARIJA,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Bolivia
MC BOLIVIA,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Bolivia
